"Barcode","PN","Box Type","Box Number","Unit","Weight","QMIN","QMAX","WH Location","WIP Location","Local site number","Source area","Warehouse Production","ID/WAGON","MG","Location"
"P00080560-1-1-326 P2-1","P00080560","1-1","1","1","7.73","129","135","01 03 03 04","326 P2","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 03 03 04"
"P00080561-1-2-326 P4-1","P00080561","1-2","1","1","7.73","129","135","01 04 03 04","326 P4","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 04 03 04"
"P00088087-1-3-326 P4-1","P00088087","1-3","1","1","1.07","129","135","02 06 03 02","326 P4","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 06 03 02"
"P00080575-2-1-326 P4-1","P00080575","2-1","1","1","2.04","129","135","02 02 02 01","326 P4","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 02 02 01"
"P00491780-2-2-BR KT2 P3-1","P00491780","2-2","1","1","0.70","150","156","01 05 03 02","BR KT2 P3","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 05 03 02"
"P00491780-2-3-P1 EQ-1","P00491780","2-3","1","1","0.70","90","94","01 05 03 02","P1 EQ","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 05 03 02"
"P00088257-2-4-BR KT2 P1-1","P00088257","2-4","1","1","0.78","300","312","02 01 02 04","BR KT2 P1","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 01 02 04"
"P00096456-2-5-326 P5-1","P00096456","2-5","1","1","2.00","129","135","01 06 02 04","326 P5","47","KA-1","WIP1","WIP1-SEG94-W2","CLIP","01 06 02 04"
"P00096456-2-6-326 P8-1","P00096456","2-6","1","1","2.00","129","135","01 06 02 04","326 P8","47","KA-1","WIP1","WIP1-SEG94-W2","CLIP","01 06 02 04"
"P00108319-3-1-326 P5-1","P00108319","3-1","1","1","0.61","129","135","01 03 01 04","326 P5","47","KA-1","WIP1","WIP1-SEG94-W2","CLIP","01 03 01 04"
"P00108319-3-2-326 P8-1","P00108319","3-2","1","1","0.61","129","135","01 03 01 04","326 P8","47","KA-1","WIP1","WIP1-SEG94-W2","CLIP","01 03 01 04"
"P00096883-3-3-326 P3-1","P00096883","3-3","1","1","1.66","129","135","01 06 03 02","326 P3","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 06 03 02"
"P00009065-3-4-326 P3-1","P00009065","3-4","1","1","0.69","129","135","01 05 01 03","326 P3","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 05 01 03"
"P00146481-3-5-326 P4-1","P00146481","3-5","1","1","1.15","129","135","01 05 02 02","326 P4","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 05 02 02"
"P00146854-3-6-326 P2-1","P00146854","3-6","1","1","1.55","129","135","01 03 03 01","326 P2","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 03 03 01"
"P00108320-4-1-691A/406C P3-2-1","P00108320","4-1","1","1","0.65","150","156","02 07 01 02","691A/406C P3-2","47","KA-1","WIP1","WIP1-SEG94-W2","CLIP","02 07 01 02"
"P00108320-4-2-691A/406C P3-1-1","P00108320","4-2","1","1","0.65","150","156","02 07 01 02","691A/406C P3-1","47","KA-1","WIP1","WIP1-SEG94-W2","CLIP","02 07 01 02"
"P00365646-4-3-406C P1-2-1","P00365646","4-3","1","1","3.05","150","156","01 03 01 01","406C P1-2","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 03 01 01"
"P00365646-4-4-406C P1-1-1","P00365646","4-4","1","1","3.05","150","156","01 03 01 01","406C P1-1","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 03 01 01"
"P00055742-4-5-691A P1-1-1","P00055742","4-5","1","1","0.80","150","156","01 03 01 02","691A P1-1","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 03 01 02"
"P00055742-4-6-691A P1-2-1","P00055742","4-6","1","1","0.80","150","156","01 03 01 02","691A P1-2","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 03 01 02"
"P00607571-5-1-BR KT2 P2-1","P00607571","5-1","1","1","0.90","150","156","01 03 02 03","BR KT2 P2","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 03 02 03"
"P00607571-5-2-BR KT2 P3-1","P00607571","5-2","1","1","0.90","150","156","01 03 02 03","BR KT2 P3","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 03 02 03"
"P00010879-5-3-326 P8-1","P00010879","5-3","1","1","2.00","516","537","02 09 03 01","326 P8","47","KA-1","WIP1","WIP1-SEG94-W2","CLIP","02 09 03 01"
"P00010879-5-4-326 P8-1","P00010879","5-4","1","1","2.00","516","537","02 09 03 01","326 P8","47","KA-1","WIP1","WIP1-SEG94-W2","CLIP","02 09 03 01"
"P00080558-6-1-326 P1-1","P00080558","6-1","1","1","7.73","129","135","02 09 01 01","326 P1","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 09 01 01"
"P00125606-6-2-326 P3-1","P00125606","6-2","1","1","4.30","129","135","02 08 03 04","326 P3","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 08 03 04"
"P00497123-6-3-691A/406C P1-1-1","P00497123","6-3","1","1","0.06","150","156","02 02 01 01","691A/406C P1-1","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 02 01 01"
"P00497123-6-4-691A/406C P1-2-1","P00497123","6-4","1","1","0.06","150","156","02 02 01 01","691A/406C P1-2","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 02 01 01"
"P00147422-7-1-BR KT2 P1-1","P00147422","7-1","1","1","0.63","300","312","02 04 01 01","BR KT2 P1","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 04 01 01"
"P00147422-7-2-BR KT2 P3-1","P00147422","7-2","1","1","0.63","300","312","02 04 01 01","BR KT2 P3","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 04 01 01"
"P00147422-7-3-BR KT2 P2-1","P00147422","7-3","1","1","0.63","300","312","02 04 01 01","BR KT2 P2","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 04 01 01"
"P00147422-7-4-326 P1-1","P00147422","7-4","1","1","0.63","129","135","02 04 01 01","326 P1","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 04 01 01"
"P00472038-7-5-BR KT2 P4-1","P00472038","7-5","1","1","1.71","150","156","01 05 02 03","BR KT2 P4","47","KA-1","WIP1","WIP1-SEG94-W2","CLIP","01 05 02 03"
"P00472038-7-6-P2 EQ-1","P00472038","7-6","1","1","1.71","90","94","01 05 02 03","P2 EQ","47","KA-1","WIP1","WIP1-SEG94-W2","CLIP","01 05 02 03"
"P00088257-8-1-BR KT2 P2-1","P00088257","8-1","1","1","0.78","300","312","02 01 02 04","BR KT2 P2","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 01 02 04"
"P00080542-8-2-326 P4-1","P00080542","8-2","1","1","1.14","129","135","02 01 02 01","326 P4","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 01 02 01"
"P00079882-8-3-326 P1-1","P00079882","8-3","1","1","1.19","129","135","02 01 02 02","326 P1","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 01 02 02"
"P00088257-8-4-BR KT2 P3-1","P00088257","8-4","1","1","0.78","300","312","02 01 02 04","BR KT2 P3","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 01 02 04"
"P00080685-8-5-326 P3-1","P00080685","8-5","1","1","1.19","129","135","02 01 03 03","326 P3","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 01 03 03"
"P00080543-8-6-326 P1-1","P00080543","8-6","1","1","1.19","129","135","02 02 01 02","326 P1","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 02 01 02"
"P00080591-9-1-406C P1-1-1","P00080591","9-1","1","1","1.60","150","156","02 07 02 04","406C P1-1","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 07 02 04"
"P00080591-9-2-406C P1-2-1","P00080591","9-2","1","1","1.60","150","156","02 07 02 04","406C P1-2","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","02 07 02 04"
"P00491780-9-3-BR KT2 P1-1","P00491780","9-3","1","1","0.70","150","156","01 05 03 02","BR KT2 P1","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 05 03 02"
"P00491780-9-4-BR KT2 P2-1","P00491780","9-4","1","1","0.70","150","156","01 05 03 02","BR KT2 P2","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 05 03 02"
"P00752225-9-5-406C P1-1-1","P00752225","9-5","1","1","3.94","150","156","01 05 02 01","406C P1-1","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 05 02 01"
"P00752225-9-6-406C P1-2-1","P00752225","9-6","1","1","3.94","150","156","01 05 02 01","406C P1-2","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 05 02 01"
"P00119633-10-1-P2 EQ-1","P00119633","10-1","1","1","4.52","90","94","01 04 01 05","P2 EQ","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 04 01 05"
"P00119633-10-2-BR KT2 P1-1","P00119633","10-2","1","1","4.52","150","156","01 04 01 05","BR KT2 P1","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 04 01 05"
"P00135587-10-3-P1 EQ-1","P00135587","10-3","1","1","0.77","180","188","01 05 02 04","P1 EQ","47","KA-1","WIP1","WIP1-SEG94-W2","GEH","01 05 02 04"
"P00119633-1-1-DM P1-1","P00119633","1-1","1","1","4.52","180","188","01 04 01 05","DM P1","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","01 04 01 05"
"P00119633-1-2-DM P1-1-1","P00119633","1-2","1","1","4.52","360","375","01 04 01 05","DM P1-1","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","01 04 01 05"
"P00119633-2-1-DM P1-1-1","P00119633","2-1","1","1","4.52","180","188","01 04 01 05","DM P1-1","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","01 04 01 05"
"P00119633-2-2-DM P1-2-1","P00119633","2-2","1","1","4.52","180","188","01 04 01 05","DM P1-2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","01 04 01 05"
"P00119633-3-1-DM P1-2-1","P00119633","3-1","1","1","4.52","180","188","01 04 01 05","DM P1-2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","01 04 01 05"
"P00752225-3-2-AJ P1-2-1","P00752225","3-2","1","1","3.94","165","172","01 05 02 01","AJ P1-2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","01 05 02 01"
"P00752225-3-3-AJ P1-2-1","P00752225","3-3","1","1","3.94","165","172","01 05 02 01","AJ P1-2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","01 05 02 01"
"P00080591-3-4-AJ P1-2-1","P00080591","3-4","1","1","1.60","90","94","02 07 02 04","AJ P1-2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 07 02 04"
"P00080591-3-5-AJ P1-1-1","P00080591","3-5","1","1","1.60","90","94","02 07 02 04","AJ P1-1","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 07 02 04"
"P00895662-4-1-AJ P3-2-1","P00895662","4-1","1","1","1.65","120","125","01 04 03 01","AJ P3-2","47","KA-1","WIP1","WIP1-SEG94-W4","CLIP","01 04 03 01"
"P00607571-4-2-DM P1-2-1","P00607571","4-2","1","1","0.90","180","188","01 03 02 03","DM P1-2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","01 03 02 03"
"P00607571-4-3-DM P1-1-1","P00607571","4-3","1","1","0.90","180","188","01 03 02 03","DM P1-1","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","01 03 02 03"
"P00607571-4-4-DM P1-2-1","P00607571","4-4","1","1","0.90","180","188","01 03 02 03","DM P1-2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","01 03 02 03"
"P00607571-4-5-DM P1-1-1","P00607571","4-5","1","1","0.90","180","188","01 03 02 03","DM P1-1","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","01 03 02 03"
"P00607571-4-6-DM P1-1","P00607571","4-6","1","1","0.90","180","188","01 03 02 03","DM P1","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","01 03 02 03"
"P00472038-5-1-DM P1-1","P00472038","5-1","1","1","1.71","180","188","01 05 02 03","DM P1","47","KA-1","WIP1","WIP1-SEG94-W4","CLIP","01 05 02 03"
"P00472038-5-2-DM P1-1-1","P00472038","5-2","1","1","1.71","180","188","01 05 02 03","DM P1-1","47","KA-1","WIP1","WIP1-SEG94-W4","CLIP","01 05 02 03"
"P00472038-5-3-DM P1-2-1","P00472038","5-3","1","1","1.71","180","188","01 05 02 03","DM P1-2","47","KA-1","WIP1","WIP1-SEG94-W4","CLIP","01 05 02 03"
"P00472038-5-4-DM P1-1-1","P00472038","5-4","1","1","1.71","180","188","01 05 02 03","DM P1-1","47","KA-1","WIP1","WIP1-SEG94-W4","CLIP","01 05 02 03"
"P00472038-5-5-DM P1-2-1","P00472038","5-5","1","1","1.71","180","188","01 05 02 03","DM P1-2","47","KA-1","WIP1","WIP1-SEG94-W4","CLIP","01 05 02 03"
"P00088257-5-6-DM P2-1","P00088257","5-6","1","1","0.78","180","188","02 01 02 04","DM P2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 01 02 04"
"P00088257-6-1-DM P1-1-1","P00088257","6-1","1","1","0.78","360","375","02 01 02 04","DM P1-1","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 01 02 04"
"P00088257-6-2-DM P1-1-1","P00088257","6-2","1","1","0.78","180","188","02 01 02 04","DM P1-1","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 01 02 04"
"P00088257-6-3-DM P2-1","P00088257","6-3","1","1","0.78","180","188","02 01 02 04","DM P2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 01 02 04"
"P00088257-6-4-DM P1-2-1","P00088257","6-4","1","1","0.78","180","188","02 01 02 04","DM P1-2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 01 02 04"
"P00088257-6-5-DM P1-2-1","P00088257","6-5","1","1","0.78","180","188","02 01 02 04","DM P1-2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 01 02 04"
"P00147422-7-1-DM P1-1-1","P00147422","7-1","1","1","0.63","180","188","02 04 01 01","DM P1-1","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 04 01 01"
"P00147422-7-2-DM P1-2-1","P00147422","7-2","1","1","0.63","180","188","02 04 01 01","DM P1-2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 04 01 01"
"P00147422-7-3-DM P2-1","P00147422","7-3","1","1","0.63","180","188","02 04 01 01","DM P2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 04 01 01"
"P00147422-7-4-DM P1-1-1","P00147422","7-4","1","1","0.63","180","188","02 04 01 01","DM P1-1","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 04 01 01"
"P00147422-7-5-DM P2-1","P00147422","7-5","1","1","0.63","180","188","02 04 01 01","DM P2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 04 01 01"
"P00147422-7-6-DM P1-2-1","P00147422","7-6","1","1","0.63","180","188","02 04 01 01","DM P1-2","47","KA-1","WIP1","WIP1-SEG94-W4","GEH","02 04 01 01"
